"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"433",15,"Marcus Yarns",NO,"RB111","23","286","440","339.6","56.4","-"
"434",15,"Mack Hollins",NE,"WR147","31","260","405","310.8","55.8","-"
"435",15,"Zay Jones",ARI,"WR148","30","225","480","346.0","86.7","-"
"436",15,"Trey Lance",LAC,"QB58","25","316","427","361.7","44.6","-"
"437",15,"Jelani Woods",IND,"TE60","26","330","448","376.4","45.3","-"
"438",15,"Samaje Perine",CIN,"RB112","29","317","423","366.7","37.8","-"
"439",15,"Marquez Valdes-Scantling",SEA,"WR149","30","276","421","348.6","48.1","-"
"440",15,"Colby Parkinson",LAR,"TE61","26","321","445","380.4","45.1","-"
"441",15,"Michael Carter",ARI,"RB113","26","304","456","381.0","51.9","-"
"442",15,"Rondale Moore",MIN,"WR150","24","288","453","370.2","51.5","-"
"443",15,"Gavin Bartholomew",MIN,"TE62","22","278","421","353.2","52.1","-"
"444",15,"Drew Lock",SEA,"QB59","28","291","442","353.6","50.0","-"
"445",15,"Allen Lazard",NYJ,"WR151","29","198","441","284.0","111.2","-"
"446",15,"Davis Allen",LAR,"TE63","24","251","409","354.4","56.5","-"
"447",15,"Hendon Hooker",DET,"QB60","27","290","425","354.6","55.2","-"
"448",15,"Chad Ryland",ARI,"K29","25","187","408","287.7","91.3","-"
"449",15,"Jimmy Garoppolo",LAR,"QB61","33","285","435","359.4","58.5","-"
"450",15,"Grant Calcaterra",PHI,"TE64","26","263","444","339.3","66.2","-"
"451",15,"Carson Steele",KC,"RB114","22","349","451","382.0","38.5","-"
"452",15,"Tyler Boyd",FA,"WR152","30","326","448","367.6","43.2","-"
"453",15,"Tommy Tremble",CAR,"TE65","24","261","453","368.4","76.7","-"
"454",15,"Jared Wiley",KC,"TE66","24","344","449","384.2","35.9","-"
"455",15,"Zach Wilson",MIA,"QB62","25","344","437","394.9","33.4","-"
"456",15,"Theo Wease Jr.",MIA,"WR153","23","237","245","241.0","4.0","-"
"457",15,"Antwane Wells Jr.",NYG,"WR154","24","245","247","246.0","1.0","-"
"458",15,"Nick Folk",FA,"K30","40","228","376","319.0","65.0","-"
"459",15,"Ezekiel Elliott",FA,"RB115","29","303","449","376.0","60.1","-"
"460",15,"Israel Abanikanda",SF,"RB116","22","236","425","323.0","77.9","-"
"461",15,"D'Onta Foreman",FA,"RB117","29","243","452","357.0","87.3","-"
"462",15,"Rasheen Ali",BAL,"RB118","24","320","414","377.8","32.5","-"
"463",15,"Stone Smartt",NYJ,"TE67","26","321","428","379.6","34.3","-"
"464",15,"Eric Gray",NYG,"RB119","25","345","424","379.8","34.0","-"
"465",16,"Hunter Renfrow",CAR,"WR155","29","219","445","333.7","92.3","-"
"466",16,"Gerald Everett",FA,"TE68","30","300","476","370.0","64.8","-"
"467",16,"Marcus Mariota",WAS,"QB63","31","284","387","335.3","42.0","-"
"468",16,"Graham Gano",NYG,"K31","38","234","405","335.7","73.5","-"
"469",16,"Kalif Raymond",DET,"WR156","30","301","460","368.0","58.6","-"
"470",16,"Kurtis Rourke",SF,"QB64","24","258","420","338.0","66.2","-"
"471",16,"Bub Means",NO,"WR157","24","287","463","372.0","62.3","-"
"472",16,"Jake Bobo",SEA,"WR158","26","358","457","401.7","38.5","-"
"473",16,"Andy Dalton",CAR,"QB65","37","331","361","347.0","12.3","-"
"474",16,"Jaydn Ott",FA,"RB120","-","292","298","295.0","3.0","-"
"475",16,"Jake Briningstool",KC,"TE69","22","313","455","394.0","51.2","-"
"476",16,"Ja'Quinden Jackson",JAC,"RB121","23","299","304","301.5","2.5","-"
"477",16,"Hayden Hurst",FA,"TE70","31","305","466","382.8","57.1","-"
"478",16,"Van Jefferson",TEN,"WR159","28","281","478","386.3","71.8","-"
"479",16,"Harrison Bryant",PHI,"TE71","27","334","468","386.3","53.8","-"
"480",16,"Efton Chism III",NE,"WR160","-","235","450","361.0","91.6","-"
"481",16,"Josh Oliver",MIN,"TE72","28","342","500","396.0","61.7","-"
"482",16,"Hunter Long",JAC,"TE73","26","275","454","371.3","73.7","-"
"483",16,"Kylen Granson",PHI,"TE74","27","330","487","402.0","56.0","-"
"484",16,"Tylan Wallace",BAL,"WR161","26","292","378","335.0","43.0","-"
"485",16,"Tyler Huntley",FA,"QB66","27","328","346","337.0","9.0","-"
"486",16,"Elijah Higgins",ARI,"TE75","24","355","475","414.4","44.7","-"
"487",16,"Carson Wentz",FA,"QB67","32","325","356","340.5","15.5","-"
"488",16,"Brevin Jordan",HOU,"TE76","24","330","482","388.7","66.7","-"
"489",16,"Emari Demercado",ARI,"RB122","26","327","474","406.8","57.6","-"
"490",16,"Charlie Kolar",BAL,"TE77","26","329","481","393.0","64.3","-"
"491",16,"JuJu Smith-Schuster",KC,"WR162","28","377","459","415.2","34.7","-"
"492",16,"Brock Wright",DET,"TE78","26","324","472","391.3","61.1","-"
"493",16,"Johnny Wilson",PHI,"WR163","24","370","455","416.0","34.2","-"
"494",16,"Jarrett Stidham",DEN,"QB68","28","333","372","352.5","19.5","-"
"495",16,"Jamaal Pritchett",NYJ,"WR164","-","274","465","392.7","84.6","-"
"496",16,"Tip Reiman",ARI,"TE79","23","344","483","401.0","59.4","-"
"497",16,"Joshua Dobbs",NE,"QB69","30","339","383","361.0","22.0","-"
"498",16,"Olamide Zaccheaus",CHI,"WR165","27","278","461","369.5","91.5","-"
"499",16,"Michael Gallup",WAS,"WR166","29","279","464","371.5","92.5","-"
"500",16,"Adam Trautman",DEN,"TE80","28","345","503","414.3","65.9","-"
"501",16,"Clyde Edwards-Helaire",NO,"RB123","26","306","444","375.0","69.0","-"
"502",16,"Jaheim Bell",NE,"TE81","23","371","467","420.8","41.4","-"
"503",16,"Pierre Strong Jr.",CLE,"RB124","26","321","440","380.5","59.5","-"
"504",16,"Kaden Prather",BUF,"WR167","22","303","473","388.0","85.0","-"
"505",16,"Josh Whyle",TEN,"TE82","25","368","502","421.3","58.0","-"
"506",16,"Jamaal Williams",FA,"RB125","30","323","442","382.5","59.5","-"
"507",16,"Joey Slye",TEN,"K32","29","359","407","383.0","24.0","-"
"508",16,"Jeff Wilson Jr.",FA,"RB126","29","326","446","386.0","60.0","-"
"509",16,"Konata Mumpfield",LAR,"WR168","22","315","462","388.5","73.5","-"
"510",16,"Greg Joseph",SF,"K33","30","370","406","388.0","18.0","-"
"511",16,"Dominic Lovett",DET,"WR169","22","336","469","402.5","66.5","-"
"512",16,"Moliki Matavao",NO,"TE83","22","340","470","405.0","65.0","-"
"513",16,"Lil'Jordan Humphrey",NYG,"WR170","27","342","486","414.0","72.0","-"
"514",16,"Craig Reynolds",DET,"RB127","28","352","488","420.0","68.0","-"
"515",16,"Jeremy McNichols",WAS,"RB128","29","353","489","421.0","68.0","-"
"516",16,"Montrell Johnson Jr.",PHI,"RB129","22","358","491","424.5","66.5","-"
"517",16,"Corey Kiner",SF,"RB130","23","362","492","427.0","65.0","-"
"518",16,"KhaDarel Hodge",ATL,"WR171","30","369","493","431.0","62.0","-"
"519",16,"Zach Pascal",NYG,"WR172","30","371","494","432.5","61.5","-"
"520",16,"Brenden Rice",LAC,"WR173","23","373","479","426.0","53.0","-"
"521",16,"Sterling Shepard",TB,"WR174","32","373","495","434.0","61.0","-"
"522",16,"David Moore",CAR,"WR175","30","376","496","436.0","60.0","-"
"523",16,"Jamari Thrash",CLE,"WR176","24","377","497","437.0","60.0","-"
"524",16,"A.T. Perry",DEN,"WR177","25","378","484","431.0","53.0","-"
"525",16,"Jalen Brooks",DAL,"WR178","25","380","498","439.0","59.0","-"
"526",16,"Will Mallory",IND,"TE84","25","381","485","433.0","52.0","-"
"527",16,"Terrace Marshall Jr.",PHI,"WR179","24","381","499","440.0","59.0","-"
"528",16,"Drew Sample",CIN,"TE85","29","393","501","447.0","54.0","-"
"529",16,"Xavier Hutchinson",HOU,"WR180","24","396","490","443.0","47.0","-"
